transaction_id,customer_id,amount,previous_successes,previous_failures,customer_age_days,is_subscription,is_active,failure_reason,failed,recovered
T100000,C1103,1457.37,3,3,467,1,0,temporary_failure,0,1
T100001,C1436,2799.97,4,0,696,1,1,expired_method,0,1
T100002,C1861,818.74,5,1,1264,1,1,technical_error,0,1
T100003,C1271,739.13,7,1,1301,1,1,expired_method,0,1
T100004,C1107,2343.91,7,2,955,0,1,authentication_failure,0,1
T100005,C1072,395.92,5,2,1391,0,0,expired_method,0,1
T100006,C1701,1435.31,13,1,498,1,1,expired_method,0,1
T100007,C1021,1056.36,8,3,633,1,1,checkout_abandoned,1,1
T100008,C1615,466.7,2,0,49,0,0,technical_error,1,1
T100009,C1122,666.17,3,3,739,0,1,temporary_failure,1,1
T100010,C1467,1234.31,5,1,757,1,1,expired_method,0,1
T100011,C1215,2908.73,9,2,1225,0,0,insufficient_funds,1,1
T100012,C1331,820.8,7,0,284,0,1,authentication_failure,0,1
T100013,C1459,3327.7,6,2,761,0,1,insufficient_funds,0,1
T100014,C1088,1404.43,7,2,365,0,0,checkout_abandoned,0,1
T100015,C1373,3578.82,5,2,164,1,1,checkout_abandoned,0,1
T100016,C1100,851.19,6,1,701,0,1,insufficient_funds,0,1
T100017,C1872,1291.28,4,1,772,0,0,temporary_failure,0,1
T100018,C1664,1765.81,3,2,1224,0,0,temporary_failure,0,1
T100019,C1131,1170.71,7,2,1110,0,1,insufficient_funds,0,1
T100020,C1662,2737.41,6,0,64,0,1,technical_error,0,1
T100021,C1309,255.78,4,1,725,0,1,insufficient_funds,0,1
T100022,C1770,8240.4,5,1,680,1,0,insufficient_funds,1,1
T100023,C1344,2548.68,5,2,1172,0,1,checkout_abandoned,0,1
T100024,C1492,1175.97,3,1,410,1,1,temporary_failure,0,1
T100025,C1414,885.15,2,3,239,1,1,temporary_failure,0,1
T100026,C1806,699.37,1,0,1355,0,1,expired_method,0,1
T100027,C1386,2173.76,3,1,76,0,0,technical_error,0,1
T100028,C1192,2824.92,2,1,1131,0,1,technical_error,0,1
T100029,C1277,1185.72,6,1,123,0,1,authentication_failure,1,1
T100030,C1161,3072.49,4,0,425,1,1,expired_method,1,1
T100031,C1460,678.28,4,1,1046,0,1,insufficient_funds,1,1
T100032,C1314,594.16,7,2,1255,1,1,expired_method,0,1
T100033,C1022,5218.71,4,0,1456,1,1,authentication_failure,0,1
T100034,C1253,2086.68,3,1,1054,1,1,insufficient_funds,0,1
T100035,C1748,3818.59,4,1,224,0,0,temporary_failure,0,1
T100036,C1857,705.95,4,0,1177,0,1,temporary_failure,1,1
T100037,C1561,670.05,5,4,499,0,0,authentication_failure,0,1
T100038,C1475,1023.56,6,0,912,1,1,authentication_failure,0,1
T100039,C1059,721.95,3,1,349,0,1,temporary_failure,0,1
T100040,C1511,2273.38,4,1,121,1,1,checkout_abandoned,0,1
T100041,C1682,762.54,3,1,1011,0,1,checkout_abandoned,0,1
T100042,C1476,556.27,2,0,391,0,1,checkout_abandoned,0,1
T100043,C1700,1489.97,0,2,1111,0,0,authentication_failure,1,0
T100044,C1783,509.03,5,3,95,0,1,expired_method,1,1
T100045,C1190,347.37,4,3,370,0,1,technical_error,1,1
T100046,C1687,1480.22,7,0,493,0,1,expired_method,0,1
T100047,C1563,360.71,1,1,483,0,1,temporary_failure,0,1
T100048,C1876,2395.77,3,2,1109,1,0,authentication_failure,1,1
T100049,C1567,470.36,5,2,890,0,1,expired_method,0,1
T100050,C1244,249.51,5,2,1064,1,1,technical_error,0,1
T100051,C1832,1074.54,7,2,1393,1,1,insufficient_funds,1,1
T100052,C1505,1492.86,2,1,1357,0,1,temporary_failure,0,1
T100053,C1131,1936.44,4,4,177,0,1,technical_error,0,1
T100054,C1485,1523.88,4,1,1316,0,1,insufficient_funds,0,1
T100055,C1819,605.17,4,0,914,0,1,insufficient_funds,1,1
T100056,C1647,2286.54,6,1,981,1,1,expired_method,0,1
T100057,C1021,2752.06,8,2,1253,1,1,checkout_abandoned,0,1
T100058,C1841,542.22,6,0,1305,0,1,expired_method,1,1
T100059,C1167,1169.4,5,1,376,1,1,temporary_failure,0,1
T100060,C1274,1090.26,3,0,1146,1,1,insufficient_funds,0,1
T100061,C1388,1580.17,2,2,581,0,0,technical_error,0,1
T100062,C1601,1148.61,7,0,856,0,1,expired_method,0,1
T100063,C1316,1272.95,3,0,914,0,0,expired_method,0,1
T100064,C1014,2167.57,6,0,958,0,0,checkout_abandoned,1,1
T100065,C1242,580.92,2,0,897,0,0,checkout_abandoned,0,1
T100066,C1777,2328.62,7,1,373,0,0,insufficient_funds,0,1
T100067,C1346,3152.18,4,0,1321,0,0,checkout_abandoned,0,1
T100068,C1565,4562.39,9,0,1088,1,1,temporary_failure,0,1
T100069,C1898,268.4,9,2,1276,0,0,expired_method,0,1
T100070,C1340,1167.74,3,2,162,0,1,insufficient_funds,0,1
T100071,C1092,306.79,10,2,178,0,1,expired_method,1,1
T100072,C1367,215.66,8,3,1142,0,0,temporary_failure,0,1
T100073,C1455,1492.29,3,3,934,1,1,expired_method,0,1
T100074,C1428,992.91,6,2,905,1,1,temporary_failure,0,1
T100075,C1509,1677.21,5,0,1371,0,0,checkout_abandoned,0,1
T100076,C1776,1928.69,4,2,45,1,1,authentication_failure,0,1
T100077,C1035,3414.96,1,3,733,0,1,insufficient_funds,0,1
T100078,C1206,1394.71,3,3,1373,0,1,expired_method,0,1
T100079,C1081,11998.26,5,1,1164,1,0,insufficient_funds,1,1
T100080,C1562,1685.48,5,2,68,1,0,technical_error,1,1
T100081,C1872,5334.01,7,3,1193,1,0,authentication_failure,0,1
T100082,C1388,232.84,2,0,819,1,1,checkout_abandoned,0,1
T100083,C1002,3686.03,4,0,338,0,1,expired_method,0,1
T100084,C1390,1169.61,4,0,567,0,1,temporary_failure,1,1
T100085,C1566,310.67,4,1,1401,0,1,temporary_failure,0,1
T100086,C1106,1836.12,8,2,996,1,1,insufficient_funds,0,1
T100087,C1772,1067.19,9,0,353,1,1,checkout_abandoned,1,1
T100088,C1822,2069.45,6,0,1345,1,1,checkout_abandoned,0,1
T100089,C1477,2859.23,3,1,644,0,0,checkout_abandoned,0,1
T100090,C1703,438.4,5,1,1247,1,0,technical_error,0,1
T100091,C1402,2867.48,5,2,1191,1,1,temporary_failure,0,1
T100092,C1730,1345.96,4,0,173,0,1,technical_error,1,0
T100093,C1556,3694.61,3,0,291,0,1,authentication_failure,0,1
T100094,C1162,1148.42,2,2,1083,1,0,temporary_failure,0,1
T100095,C1202,941.24,3,0,139,1,0,authentication_failure,0,1
T100096,C1270,1366.89,3,0,1395,0,1,insufficient_funds,1,0
T100097,C1863,1445.77,6,2,885,0,1,expired_method,0,1
T100098,C1816,814.77,6,3,272,0,1,expired_method,0,1
T100099,C1271,923.13,2,0,1188,1,1,insufficient_funds,0,1
T100100,C1456,533.71,2,3,1369,1,0,expired_method,0,1
T100101,C1462,966.82,3,0,1338,1,1,temporary_failure,0,1
T100102,C1727,2224.38,10,1,55,0,0,checkout_abandoned,0,1
T100103,C1252,1208.32,1,2,1281,1,1,authentication_failure,0,1
T100104,C1702,2854.92,4,0,742,0,1,expired_method,0,1
T100105,C1296,1165.53,3,1,1246,1,0,insufficient_funds,0,1
T100106,C1725,457.77,8,1,1443,0,1,technical_error,0,1
T100107,C1720,2096.36,1,0,11,1,0,expired_method,0,1
T100108,C1749,808.18,8,1,727,0,0,expired_method,0,1
T100109,C1338,1124.37,8,1,751,1,1,checkout_abandoned,1,0
T100110,C1879,3388.62,5,0,1353,1,1,temporary_failure,0,1
T100111,C1053,560.79,9,2,877,0,0,authentication_failure,1,1
T100112,C1792,1515.59,5,0,262,0,1,insufficient_funds,1,0
T100113,C1217,1299.34,10,2,837,0,1,insufficient_funds,1,0
T100114,C1764,2265.83,9,0,98,0,0,checkout_abandoned,0,1
T100115,C1188,2543.67,4,1,1048,0,0,technical_error,0,1
T100116,C1380,1632.52,5,1,1198,0,0,checkout_abandoned,0,1
T100117,C1493,1022.21,7,1,1460,1,1,temporary_failure,0,1
T100118,C1041,1910.33,8,1,701,1,0,expired_method,1,1
T100119,C1157,3647.3,4,1,981,0,0,insufficient_funds,0,1
T100120,C1015,1312.29,2,1,627,0,1,checkout_abandoned,0,1
T100121,C1813,1096.15,8,2,1452,0,1,insufficient_funds,0,1
T100122,C1065,1792.07,7,1,1443,0,1,technical_error,1,1
T100123,C1857,1378.91,5,0,994,1,0,temporary_failure,0,1
T100124,C1839,491.13,9,0,478,0,0,expired_method,0,1
T100125,C1521,1602.79,8,3,650,1,1,temporary_failure,1,1
T100126,C1344,487.81,6,2,446,0,1,checkout_abandoned,0,1
T100127,C1129,1773.77,6,1,214,1,0,insufficient_funds,1,0
T100128,C1648,736.67,5,1,1063,1,1,temporary_failure,1,1
T100129,C1472,1376.99,4,1,965,0,1,checkout_abandoned,1,1
